ZIP,PARK,BASEBALL_J,BASEBALL_S,SUM
60616,WILLIAMS (DANIEL HALE),1,1,
60652,SCOTTSDALE,2,0,
60609,STATEWAY,2,0,
60616,DUNBAR (PAUL LAURENCE),2,2,
60608,ADDAMS (JANE),0,0,
60616,LAKE MEADOWS,1,0,
60652,BOGAN (WILLIAM),3,1,
60609,TAYLOR (ROBERT ROCHON),3,1,
60628,SMITH (WENDELL),2,0,
60645,LERNER (LEO),0,0,
60630,AUSTIN FOSTER,2,0,
60609,WENTWORTH (JOHN) GARDENS,1,0,
60659,LEGION,2,0,
60625,RONAN (GEORGE),0,0,
60615,NICHOLS (JOHN FOUNTAIN),1,0,
60615,"HOUSTON (JESSIE ""MA"")",0,0,
60627,GOLDEN GATE,1,1,
60619,BROWN (SIDNEY) MEML.,2,0,
60657,SOUTH LAKEVIEW,0,0,
60615,STOUT (FLORENCE),1,0,
60615,COLEMAN (BESSIE),0,0,
60615,CORNELL (PAUL),0,0,
60647,UNITY,0,0,
60649,HASAN (ELLIOT),0,0,
60608,BARAGA (FREDERICK),0,0,
60652,DOOLEY (THOMAS),1,0,
60640,HICKORY,0,0,
60629,"SENKA (EDWARD ""DUKE"")",1,0,
60636,WOLCOTT (ALEXANDER),0,0,
60638,LE CLAIRE COURTS - HEARST COMM. CTR,2,0,
60626,DUBKIN (LEONARD),0,0,
60638,MINUTEMAN,2,2,
60637,MOCCASIN RANCH,0,0,
60620,ROBICHAUX (JOSEPH),2,0,
60653,ASPEN,0,0,
60653,BIRCH,0,0,
60653,POPLAR,0,0,
60653,HARSH (VIVIAN G.),0,0,
60653,HOLLY,0,0,
60637,PARK NO. 326,0,0,
60637,BEEHIVE,0,0,
60637,PRAIRIE WOLF,0,0,
60612,JEFFERSON (NANCY),0,0,
60608,THROOP (AMOS GAGER),0,0,
60637,FLYING SQUIRREL,0,0,
60612,BARBERRY,0,0,
60624,MAGNOLIA,0,0,
60620,"KING (MARTIN LUTHER, JR.)",0,0,
60646,EDGEBROOK,3,1,
60637,HUCKLEBERRY,0,0,
60653,PENDLETON (HADIYA),0,0,
60637,BOSWELL (ARNITA YOUNG),0,0,
60640,ASTER,0,0,
60612,DOGWOOD,0,0,
60623,GINKGO,0,0,
60640,GOOSEBERRY,0,0,
60653,HONEYSUCKLE,0,0,
60608,REYES (GUADALUPE),0,0,
60623,HORNBEAM,0,0,
60619,RAILROAD JUNCTION,0,0,
60616,LIN (MARGARET HIE DING),0,0,
60624,VIOLET,0,0,
60653,BROOKS (GWENDOLYN),0,0,
60619,BURNSIDE (AMBROSE),2,0,
60613,GILL (JOSEPH),1,0,
60614,BAULER (MATHIAS),0,0,
60646,DEJULIO (ANTHONY),0,0,
60643,WHITE (EDWARD),3,0,
60647,DOUGHERTY (DANIEL),1,1,
60638,STARS & STRIPES,1,0,
60638,VALLEY FORGE,2,0,
60632,KUJAWA (CHESTER FRANK),0,0,
60643,BLACKWELDER (GERTRUDE),1,0,
60614,PRIVET,0,0,
60620,PARK NO. 382,0,0,
60626,GOLDBERG (LOUIS),0,0,
60640,BUTTERCUP,0,0,
60620,JACKSON (MAHALIA),2,0,
60619,HOARD (EDISON),1,0,
60617,WASHINGTON (DINAH),0,0,
60622,SNOWBERRY,0,0,
60660,D'ELIA (AILEEN),0,0,
60621,EDMONDS (MOLLY),0,0,
60613,JUNIPER,0,0,
60614,WALSH (JOHN),0,0,
60609,MALUS,0,0,
60621,LELAND GIANTS,0,0,
60612,SNAPPING TURTLE,0,0,
60620,THE GROVE,0,0,
60657,SHEIL (BERNARD) COMM. CTR.,0,0,
60622,PARK NO. 399,0,0,
60612,CLAREMONT,0,0,
60625,VOGLE (HENRY JR.),0,0,
60609,PACKINGTOWN,0,0,
60619,DEBOW (RUSSELL),0,0,
60624,ORR (REZIN),0,0,
60632,CURIE (MARIE),3,1,
60614,CHURCHILL FIELD,1,0,
60651,PARK NO. 414,0,0,
60621,JUNCTION GROVE,0,0,
60644,COTTONWOOD,0,0,
60644,HAZELNUT,0,0,
60619,PARK NO. 419,0,0,
60640,COCHRAN (JOHN),0,0,
60609,PARK NO. 421,0,0,
60624,PARK NO. 422,0,0,
60614,OZ,2,1,
60630,SPIKINGS FARM,0,0,
60614,NOETHLING (GRACE),0,0,
60632,BRIGHTON,0,0,
60630,ASHMORE,0,0,
60645,WARREN (LAURENCE),3,2,
60649,SOUTH SHORE CULTL. CTR.,0,0,
60644,SWEET CLOVER,0,0,
60647,FLOWER (LUCY),0,0,
60651,PARK NO. 432,0,0,
60647,NEIGHBORS' GARDEN,0,0,
60619,ESSEX,0,0,
60640,BROMANN (CHARLES),0,0,
60621,PERIWINKLE,0,0,
60636,PARK NO. 437,0,0,
60621,LUNA,0,0,
60636,DREXEL (FRANCIS),0,0,
60649,ASHE (ARTHUR) BEACH,0,0,
60609,MCINERNEY (THOMAS),0,0,
60643,LAMB (HAROLD),0,0,
60657,MARTIN (JOHNNY),0,0,
60609,METCALFE (RALPH),1,0,
60657,WIEBOLDT (WILLIAM),0,0,
60626,LAZARUS (EMMA),0,0,
60616,SUN YAT-SEN,0,0,
60646,PETERSON (PEHR SAMUEL),2,0,
60623,MIAMI,0,0,
60647,SENIOR CITIZENS MEML.,0,0,
60618,CLARK (RICHARD),0,0,
60643,RIDGE PARK WETLANDS,0,0,
60660,BROADWAY ARMORY,0,0,
60646,QUINN (MARY),0,0,
60605,DEARBORN (HENRY),0,0,
60605,ROOSEVELT (THEODORE),0,0,
60629,PARK NO. 468,0,0,
60656,GRANDPARENTS',0,0,
60616,PARK NO. 474,0,0,
60611,RIVER ESPLANADE,0,0,
60611,OGDEN (WILLIAM) PLAZA,0,0,
60611,DUSABLE (JEAN BAPTISTE POINTE),0,0,
60616,JONES (MARY RICHARDSON),0,0,
60616,COTTON TAIL,0,0,
60616,TOM (PING) MEML.,1,0,
60649,NASH (DON) COMM. CTR.,0,0,
60638,"MADIGAN (MICHAEL J., SR.)",4,1,
60641,PARSONS (LUCY),0,0,
60653,KENNICOTT (JONATHAN),0,0,
60625,WINNEMAC,4,1,
60640,BRONCHO BILLY,0,0,
60613,CHALLENGER,0,0,
60653,ARMSTRONG (LILLIAN HARDIN),2,0,
60613,KELLY (JOHN),0,0,
60615,WASHINGTON (HAROLD),0,0,
60624,"BOLER (LEO ROSCOE, SR.)",0,0,
60612,STARR (ELLEN GATES),0,0,
60608,WILSON (JOHN) COMM. CTR.,0,0,
60617,"BENIAC (JOHN ""BEANS"") GREENWAY",0,0,
60608,CANAL ORIGINS,0,0,
60605,WEBSTER (DANIEL),0,0,
60651,PARK NO. 514,0,0,
60618,ALGONQUIN,0,0,
60624,PARK NO. 500,0,0,
60617,SCHAFER (CLARA D.),0,0,
60605,COLISEUM,0,0,
60620,RENAISSANCE,0,0,
60612,LIVINGSTON FIELD,0,2,
60610,WARD (A. MONTGOMERY),0,0,
60614,PARK NO. 512,0,0,
60653,MANDRAKE (HENRY BROWN),2,0,
60638,NOTTINGHAM,0,0,
60626,WASHINGTON (HAROLD) MEM.,0,0,
60624,HOMAN SQUARE COMMUNITY CENTER,0,0,
60608,CANALPORT RIVERWALK,0,0,
60660,PARK NO. 517,0,0,
60626,TRIANGLE,0,0,
60623,PARK NO. 519,0,0,
60622,PALMER (BERTHA HONORÉ),0,0,
60613,WARNER GARDEN,0,0,
60657,WANG (CHI CHE),0,0,
60617,STEELWORKERS,0,0,
60637,HARRIS (HARRIET),0,0,
